Ticker,Security_Type,Description,Use_Case,Category
SPX,INDEX,S&P 500 Index,US major equity index - key market benchmark,Stock Indices
INDU,INDEX,Dow Jones Industrial Average,30 large US companies - economic bellwether,Stock Indices
CCMP,INDEX,NASDAQ Composite,Tech-heavy US index - innovation indicator,Stock Indices
RTY,INDEX,Russell 2000,Small cap US stocks - domestic economy health,Stock Indices
SX5E,INDEX,Euro Stoxx 50,Major European equity index,Stock Indices
UKX,INDEX,FTSE 100,UK equity index,Stock Indices
DAX,INDEX,DAX Index,German equity index - European economy,Stock Indices
CAC,INDEX,CAC 40,French equity index,Stock Indices
NKY,INDEX,Nikkei 225,Japanese equity index,Stock Indices
HSI,INDEX,Hang Seng Index,Hong Kong equity index,Stock Indices
MXEF,INDEX,MSCI Emerging Markets,Broad emerging markets exposure,Stock Indices
MXWO,INDEX,MSCI World Index,Global developed markets,Stock Indices
EEM US,EQUITY,iShares MSCI Emerging Markets ETF,EM equity ETF,Stock Indices
FXI US,EQUITY,iShares China Large-Cap ETF,China equity exposure,Stock Indices
EWZ US,EQUITY,iShares MSCI Brazil ETF,Brazil equity exposure,Stock Indices
VIX,INDEX,CBOE Volatility Index,Fear gauge - market volatility,Volatility/Risk
VVIX,INDEX,CBOE VIX of VIX,Volatility of volatility,Volatility/Risk
MOVE,INDEX,MOVE Index,Bond volatility index,Volatility/Risk
USGG10YR,INDEX,US Generic Govt 10 Year Yield,10-year Treasury yield - key rate benchmark,Interest Rates/Bonds
USGG2YR,INDEX,US Generic Govt 2 Year Yield,2-year Treasury yield,Interest Rates/Bonds
USGG5YR,INDEX,US Generic Govt 5 Year Yield,5-year Treasury yield,Interest Rates/Bonds
USGG30YR,INDEX,US Generic Govt 30 Year Yield,30-year Treasury yield,Interest Rates/Bonds
FDFD,INDEX,Fed Funds Rate,Federal Reserve target rate,Interest Rates/Bonds
LUATTRUU,INDEX,Bloomberg Barclays US Aggregate Bond,US investment grade bonds,Interest Rates/Bonds
HYG US,EQUITY,iShares iBoxx High Yield Corporate Bond ETF,High yield corporate bonds,Interest Rates/Bonds
GDBR10,INDEX,German Government Bond 10 Year,German Bund yield,Interest Rates/Bonds
GJGB10,INDEX,Japan Government Bond 10 Year,Japanese government bond yield,Interest Rates/Bonds
GUKG10,INDEX,UK Gilt 10 Year,UK government bond yield,Interest Rates/Bonds
CDX,INDEX,CDX Investment Grade Index,Investment grade CDS index,Interest Rates/Bonds
CXHY,INDEX,CDX High Yield Index,High yield CDS index,Interest Rates/Bonds
ITRAXX,INDEX,iTraxx Europe,European credit index,Credit Risk
DXY,CURNCY,US Dollar Index,Dollar strength indicator,Credit Risk
EURUSD,CURNCY,Euro/US Dollar,Most traded currency pair,Credit Risk
USDJPY,CURNCY,US Dollar/Japanese Yen,Risk-on/risk-off indicator,Currencies
GBPUSD,CURNCY,British Pound/US Dollar,Cable - major pair,Currencies
USDCHF,CURNCY,US Dollar/Swiss Franc,Safe haven currency,Currencies
AUDUSD,CURNCY,Australian Dollar/US Dollar,Commodity currency,Currencies
USDCAD,CURNCY,US Dollar/Canadian Dollar,North American pair,Currencies
